age,sex,country,population
75-79,female,AZE,58053.0
80-84,female,AZE,61962.0
85-89,female,AZE,22741.0
90-94,female,AZE,5397.0
95+,female,AZE,719.0
all-a,female,AZE,5188171.0
<1,male,AZE,78209.2
1-4,male,AZE,312836.8
5-9,male,AZE,453316.0
10-14,male,AZE,411038.0
15-19,male,AZE,337677.0
20-24,male,AZE,364044.0
25-29,male,AZE,454558.0
30-34,male,AZE,457297.0
35-39,male,AZE,394874.0
40-44,male,AZE,325678.0
45-49,male,AZE,289702.0
50-54,male,AZE,294669.0
55-59,male,AZE,291422.0
60-64,male,AZE,220676.0
65-69,male,AZE,133103.0
70-74,male,AZE,67058.0
75-79,male,AZE,33921.0
80-84,male,AZE,31814.0
85-89,male,AZE,11138.0
90-94,male,AZE,2311.0
95+,male,AZE,189.0
all-a,male,AZE,4965531.0
<1,female,BDI,212073.80000000002
1-4,female,BDI,848295.2
5-9,female,BDI,1021302.0
10-14,female,BDI,838005.0
15-19,female,BDI,624390.0
20-24,female,BDI,491632.0
25-29,female,BDI,446480.0
30-34,female,BDI,432358.0
35-39,female,BDI,378156.0
40-44,female,BDI,270066.0
45-49,female,BDI,188062.0
50-54,female,BDI,139668.0
55-59,female,BDI,108714.0
60-64,female,BDI,93335.0
65-69,female,BDI,76389.0
70-74,female,BDI,45318.0
75-79,female,BDI,28970.0
80-84,female,BDI,14399.0
85-89,female,BDI,5125.0
90-94,female,BDI,1205.0
95+,female,BDI,157.0
all-a,female,BDI,6264100.0
<1,male,BDI,215236.0
1-4,male,BDI,860944.0
5-9,male,BDI,1030174.0
10-14,male,BDI,841626.0
15-19,male,BDI,625725.0
20-24,male,BDI,490706.0
25-29,male,BDI,441389.0
30-34,male,BDI,422951.0
35-39,male,BDI,366129.0
40-44,male,BDI,260524.99999999997
45-49,male,BDI,180539.0
50-54,male,BDI,131236.0
55-59,male,BDI,98969.0
60-64,male,BDI,81563.0
65-69,male,BDI,63509.0
70-74,male,BDI,33518.0
75-79,male,BDI,19901.0
80-84,male,BDI,9140.0
85-89,male,BDI,2860.0
90-94,male,BDI,497.0
95+,male,BDI,69.0
all-a,male,BDI,6177206.0
<1,female,BEL,59645.200000000004
1-4,female,BEL,238580.8
5-9,female,BEL,324515.0
10-14,female,BEL,326245.0
15-19,female,BEL,309659.0
20-24,female,BEL,329676.0
25-29,female,BEL,369728.0
30-34,female,BEL,373484.0
35-39,female,BEL,375611.0
40-44,female,BEL,366614.0
45-49,female,BEL,379784.0
50-54,female,BEL,390611.0
55-59,female,BEL,399083.0
60-64,female,BEL,367041.0
65-69,female,BEL,321281.0
70-74,female,BEL,289135.0
75-79,female,BEL,208020.0
80-84,female,BEL,189077.0
85-89,female,BEL,139071.0
90-94,female,BEL,65967.0
95+,female,BEL,19080.0
all-a,female,BEL,5841908.0
<1,male,BEL,62235.8
1-4,male,BEL,248943.2
5-9,male,BEL,339828.0
10-14,male,BEL,342130.0
15-19,male,BEL,326786.0
20-24,male,BEL,342642.0
25-29,male,BEL,374713.0
30-34,male,BEL,374052.0
35-39,male,BEL,376267.0
40-44,male,BEL,372017.0
45-49,male,BEL,389020.0
50-54,male,BEL,400905.0
55-59,male,BEL,401071.0
60-64,male,BEL,356951.0
65-69,male,BEL,302256.0
70-74,male,BEL,257914.0
75-79,male,BEL,169290.0
80-84,male,BEL,132856.0
85-89,male,BEL,78794.0
90-94,male,BEL,27857.0
95+,male,BEL,5627.0
all-a,male,BEL,5682155.0
<1,female,BEN,207670.40000000002
1-4,female,BEN,830681.6000000001
5-9,female,BEN,904795.0
10-14,female,BEN,777240.0
15-19,female,BEN,661768.0
20-24,female,BEN,572933.0
25-29,female,BEN,494537.0
30-34,female,BEN,421928.0
35-39,female,BEN,356062.0
40-44,female,BEN,286108.0
45-49,female,BEN,237503.0
50-54,female,BEN,195836.0
55-59,female,BEN,156420.0
60-64,female,BEN,116969.0
65-69,female,BEN,85160.0
70-74,female,BEN,61976.0
75-79,female,BEN,40993.0
80-84,female,BEN,20202.0
85-89,female,BEN,7692.0
90-94,female,BEN,2013.9999999999998
95+,female,BEN,339.0
all-a,female,BEN,6438827.0
<1,male,BEN,213439.6
1-4,male,BEN,853758.4
5-9,male,BEN,928716.0
10-14,male,BEN,800764.0
15-19,male,BEN,684106.0
20-24,male,BEN,590026.0
25-29,male,BEN,503946.0
30-34,male,BEN,422639.0
35-39,male,BEN,350561.0
40-44,male,BEN,277224.0
45-49,male,BEN,226931.0
50-54,male,BEN,184439.0
55-59,male,BEN,144329.0
60-64,male,BEN,105296.0
65-69,male,BEN,74553.0
70-74,male,BEN,50086.0
75-79,male,BEN,29223.0
80-84,male,BEN,13576.0
85-89,male,BEN,4727.0
90-94,male,BEN,1034.0
95+,male,BEN,138.0
all-a,male,BEN,6459512.0
<1,female,BFA,338039.80000000005
1-4,female,BFA,1352159.2
5-9,female,BFA,1575357.0
10-14,female,BFA,1363578.0
15-19,female,BFA,1130064.0
20-24,female,BFA,947051.0
25-29,female,BFA,799840.0
30-34,female,BFA,692056.0
35-39,female,BFA,584093.0
40-44,female,BFA,467367.0
45-49,female,BFA,362846.0
50-54,female,BFA,295473.0
55-59,female,BFA,238922.0
60-64,female,BFA,186486.0
65-69,female,BFA,135347.0
70-74,female,BFA,95867.0
75-79,female,BFA,59062.0
80-84,female,BFA,25360.0
85-89,female,BFA,7153.0
