country,sex,cause,age,source_country,death_rate_per_1000
AGO,female,Stroke,20-24,AGO,0.0028000000000000004
AGO,female,Stroke,25-29,AGO,0.0031
AGO,female,Stroke,30-34,AGO,0.0068000000000000005
AGO,female,Stroke,35-39,AGO,0.0089
AGO,female,Stroke,40-44,AGO,0.0227
AGO,female,Stroke,45-49,AGO,0.0526
AGO,female,Stroke,5-9,AGO,0.0013
AGO,female,Stroke,50-54,AGO,0.109
AGO,female,Stroke,55-59,AGO,0.20309999999999997
AGO,female,Stroke,60-64,AGO,0.6225999999999999
AGO,female,Stroke,65-69,AGO,1.2579
AGO,female,Stroke,70-74,AGO,4.0099
AGO,female,Stroke,75-79,AGO,6.9125
AGO,female,Stroke,80-84,AGO,12.6067
AGO,female,Stroke,85-89,AGO,20.3843
AGO,female,Stroke,90-94,AGO,20.3843
AGO,female,Stroke,95+,AGO,20.3843
AGO,female,Stroke,<1,AGO,0.0042
AGO,female,T2DM,1-4,AGO,0.0014000000000000002
AGO,female,T2DM,10-14,AGO,0.005600000000000001
AGO,female,T2DM,15-19,AGO,0.0097
AGO,female,T2DM,20-24,AGO,0.015300000000000001
AGO,female,T2DM,25-29,AGO,0.0148
AGO,female,T2DM,30-34,AGO,0.027200000000000002
AGO,female,T2DM,35-39,AGO,0.0493
AGO,female,T2DM,40-44,AGO,0.091
AGO,female,T2DM,45-49,AGO,0.1686
AGO,female,T2DM,5-9,AGO,0.0019
AGO,female,T2DM,50-54,AGO,0.34049999999999997
AGO,female,T2DM,55-59,AGO,0.6125
AGO,female,T2DM,60-64,AGO,1.0881999999999998
AGO,female,T2DM,65-69,AGO,1.4644
AGO,female,T2DM,70-74,AGO,2.3154
AGO,female,T2DM,75-79,AGO,3.0423
AGO,female,T2DM,80-84,AGO,3.7443
AGO,female,T2DM,85-89,AGO,6.5936
AGO,female,T2DM,90-94,AGO,6.5936
AGO,female,T2DM,95+,AGO,6.5936
AGO,female,T2DM,<1,AGO,0.0028000000000000004
AGO,male,CHD,1-4,AGO,0.0
AGO,male,CHD,10-14,AGO,0.0
AGO,male,CHD,15-19,AGO,0.0091
AGO,male,CHD,20-24,AGO,0.0146
AGO,male,CHD,25-29,AGO,0.014199999999999999
AGO,male,CHD,30-34,AGO,0.05
AGO,male,CHD,35-39,AGO,0.113
AGO,male,CHD,40-44,AGO,0.33590000000000003
AGO,male,CHD,45-49,AGO,0.6823999999999999
AGO,male,CHD,5-9,AGO,0.0
AGO,male,CHD,50-54,AGO,1.4136000000000002
AGO,male,CHD,55-59,AGO,2.5368
AGO,male,CHD,60-64,AGO,4.3488999999999995
AGO,male,CHD,65-69,AGO,6.9139
AGO,male,CHD,70-74,AGO,10.3345
AGO,male,CHD,75-79,AGO,13.783399999999999
AGO,male,CHD,80-84,AGO,19.6984
AGO,male,CHD,85-89,AGO,35.841300000000004
AGO,male,CHD,90-94,AGO,35.841300000000004
AGO,male,CHD,95+,AGO,35.841300000000004
AGO,male,CHD,<1,AGO,0.0
AGO,male,CKD,1-4,AGO,0.019399999999999997
AGO,male,CKD,10-14,AGO,0.019999999999999997
AGO,male,CKD,15-19,AGO,0.0628
AGO,male,CKD,20-24,AGO,0.058699999999999995
AGO,male,CKD,25-29,AGO,0.03799999999999999
AGO,male,CKD,30-34,AGO,0.04120000000000001
AGO,male,CKD,35-39,AGO,0.081
AGO,male,CKD,40-44,AGO,0.16899999999999998
AGO,male,CKD,45-49,AGO,0.24089999999999998
AGO,male,CKD,5-9,AGO,0.0195
AGO,male,CKD,50-54,AGO,0.4751
AGO,male,CKD,55-59,AGO,0.8366
AGO,male,CKD,60-64,AGO,1.3901999999999999
AGO,male,CKD,65-69,AGO,1.9468
AGO,male,CKD,70-74,AGO,3.7398
AGO,male,CKD,75-79,AGO,5.0366
AGO,male,CKD,80-84,AGO,7.031299999999999
AGO,male,CKD,85-89,AGO,14.344899999999999
AGO,male,CKD,90-94,AGO,14.344899999999999
AGO,male,CKD,95+,AGO,14.344899999999999
AGO,male,CKD,<1,AGO,0.0359
AGO,male,CRC,1-4,AGO,0.0
AGO,male,CRC,10-14,AGO,0.0
AGO,male,CRC,15-19,AGO,0.0006
AGO,male,CRC,20-24,AGO,0.0048
AGO,male,CRC,25-29,AGO,0.006
AGO,male,CRC,30-34,AGO,0.0148
AGO,male,CRC,35-39,AGO,0.0078000000000000005
AGO,male,CRC,40-44,AGO,0.0246
AGO,male,CRC,45-49,AGO,0.051
AGO,male,CRC,5-9,AGO,0.0
AGO,male,CRC,50-54,AGO,0.09949999999999999
AGO,male,CRC,55-59,AGO,0.1477
AGO,male,CRC,60-64,AGO,0.2353
AGO,male,CRC,65-69,AGO,0.32289999999999996
AGO,male,CRC,70-74,AGO,0.4499
AGO,male,CRC,75-79,AGO,0.6962999999999999
AGO,male,CRC,80-84,AGO,0.5543
AGO,male,CRC,85-89,AGO,0.6792
AGO,male,CRC,90-94,AGO,0.6792
AGO,male,CRC,95+,AGO,0.6792
AGO,male,CRC,<1,AGO,0.0
AGO,male,HaemorrhagicStroke,1-4,AGO,0.021
AGO,male,HaemorrhagicStroke,10-14,AGO,0.0077
AGO,male,HaemorrhagicStroke,15-19,AGO,0.0154
AGO,male,HaemorrhagicStroke,20-24,AGO,0.0195
AGO,male,HaemorrhagicStroke,25-29,AGO,0.0151
AGO,male,HaemorrhagicStroke,30-34,AGO,0.04
AGO,male,HaemorrhagicStroke,35-39,AGO,0.0806
AGO,male,HaemorrhagicStroke,40-44,AGO,0.2263
AGO,male,HaemorrhagicStroke,45-49,AGO,0.4414
AGO,male,HaemorrhagicStroke,5-9,AGO,0.0089
AGO,male,HaemorrhagicStroke,50-54,AGO,0.9148000000000001
AGO,male,HaemorrhagicStroke,55-59,AGO,1.6085
AGO,male,HaemorrhagicStroke,60-64,AGO,2.6994
AGO,male,HaemorrhagicStroke,65-69,AGO,4.5167
AGO,male,HaemorrhagicStroke,70-74,AGO,5.9243
AGO,male,HaemorrhagicStroke,75-79,AGO,7.9026
AGO,male,HaemorrhagicStroke,80-84,AGO,7.348400000000001
AGO,male,HaemorrhagicStroke,85-89,AGO,11.6438
AGO,male,HaemorrhagicStroke,90-94,AGO,11.6438
AGO,male,HaemorrhagicStroke,95+,AGO,11.6438
AGO,male,HaemorrhagicStroke,<1,AGO,0.0387
AGO,male,StomachCancer,1-4,AGO,0.0
AGO,male,StomachCancer,10-14,AGO,0.0
AGO,male,StomachCancer,15-19,AGO,0.0
AGO,male,StomachCancer,20-24,AGO,0.005
AGO,male,StomachCancer,25-29,AGO,0.0025
AGO,male,StomachCancer,30-34,AGO,0.0023
AGO,male,StomachCancer,35-39,AGO,0.0121
AGO,male,StomachCancer,40-44,AGO,0.0276
AGO,male,StomachCancer,45-49,AGO,0.0499
AGO,male,StomachCancer,5-9,AGO,0.0
AGO,male,StomachCancer,50-54,AGO,0.0828
AGO,male,StomachCancer,55-59,AGO,0.1278
AGO,male,StomachCancer,60-64,AGO,0.18489999999999998
AGO,male,StomachCancer,65-69,AGO,0.248
AGO,male,StomachCancer,70-74,AGO,0.3011
