path,curve_cause,exposure,rr_mean,rr_low,rr_high,risk_lower,risk_upper,star_rating,rei_id,cause_id
sbp,CKD,116.80303030303,1.05548428709586,1.05011307079243,1.06088297659754,106.7,153.3,3,107,589
sbp,CKD,117.489898989899,1.06187765682893,1.05587129348498,1.06791818759542,106.7,153.3,3,107,589
sbp,CKD,118.176767676768,1.06860859434113,1.06193001029014,1.07532918067522,106.7,153.3,3,107,589
sbp,CKD,118.863636363636,1.07567726674477,1.06828885239189,1.08311678026107,106.7,153.3,3,107,589
sbp,CKD,119.550505050505,1.08308384749063,1.07494743658038,1.09128184390753,106.7,153.3,3,107,589
sbp,CKD,120.237373737374,1.0908285161483,1.08190536579557,1.09982526130398,106.7,153.3,3,107,589
sbp,CKD,120.924242424242,1.09891145818385,1.08916222967955,1.10874795326225,106.7,153.3,3,107,589
sbp,CKD,121.611111111111,1.1073328647354,1.09671760513535,1.11805087069043,106.7,153.3,3,107,589
sbp,CKD,122.29797979798,1.11609293238712,1.10457105689059,1.12773499355584,106.7,153.3,3,107,589
sbp,CKD,122.984848484848,1.12519186294247,1.11272213806422,1.13780132984005,106.7,153.3,3,107,589
sbp,CKD,123.671717171717,1.13462986319717,1.12117039073466,1.14825091448878,106.7,153.3,3,107,589
sbp,CKD,124.358585858586,1.14440714471236,1.12991534650756,1.15908480835908,106.7,153.3,3,107,589
sbp,CKD,125.045454545455,1.15452392358875,1.13895652708189,1.17030409716676,106.7,153.3,3,107,589
sbp,CKD,125.732323232323,1.16498042024195,1.14829344481271,1.18190989043613,106.7,153.3,3,107,589
sbp,CKD,126.419191919192,1.17577685917981,1.15792560326927,1.19390332045474,106.7,153.3,3,107,589
sbp,CKD,127.106060606061,1.1869134687818,1.16785249778714,1.20628554123486,106.7,153.3,3,107,589
sbp,CKD,127.792929292929,1.19839048108121,1.17807361601318,1.21905772748414,106.7,153.3,3,107,589
sbp,CKD,128.479797979798,1.21020813155046,1.18858843844234,1.23222107358729,106.7,153.3,3,107,589
sbp,CKD,129.166666666667,1.22236665888965,1.19939643894494,1.2457767926003,106.7,153.3,3,107,589
sbp,CKD,129.853535353535,1.23486630481899,1.21049708528395,1.25972611525918,106.7,153.3,3,107,589
sbp,CKD,130.540404040404,1.24770731387526,1.22188983962108,1.2740702890046,106.7,153.3,3,107,589
sbp,CKD,131.227272727273,1.26088993321243,1.23357415901105,1.28881057702361,106.7,153.3,3,107,589
sbp,CKD,131.914141414141,1.27441441240693,1.24554949588344,1.30394825730996,106.7,153.3,3,107,589
