country,risk_factor,intake_g_per_day
GNB,nuts_seeds,12.11037699519398
GNB,processed_meat,6.090650815810664
GNB,red_meat,31.69015424538757
GNB,vegetables,39.50996598673907
GNB,whole_grains,21.35174569851697
GNQ,fruits,33.95620376833692
GNQ,legumes,56.70487739085596
GNQ,nuts_seeds,28.414067276413085
GNQ,processed_meat,7.364380234609448
GNQ,red_meat,15.345814550652577
GNQ,vegetables,202.6297470947553
GNQ,whole_grains,47.78202118908231
GRC,fruits,268.86150915686346
GRC,legumes,9.004095865494223
GRC,nuts_seeds,27.493008615135874
GRC,processed_meat,8.065738733378787
GRC,red_meat,114.82119309526233
GRC,vegetables,265.4576367396448
GRC,whole_grains,113.6538074579891
GRD,fruits,268.5893670775734
GRD,legumes,14.29755986586696
GRD,nuts_seeds,4.781217563249588
GRD,processed_meat,17.672155980311558
GRD,red_meat,49.23689087456064
GRD,vegetables,205.09716924574897
GRD,whole_grains,10.102107988193607
GTM,fruits,90.51474301102073
GTM,legumes,28.93829396504689
GTM,nuts_seeds,10.438127238966697
GTM,processed_meat,17.30233899058215
GTM,red_meat,28.14981874889442
GTM,vegetables,138.96925636314373
GTM,whole_grains,12.297831202350636
GUF,fruits,119.32681232522992
GUF,legumes,3.5695083294914243
GUF,nuts_seeds,11.14445511823894
GUF,processed_meat,43.27217584228562
GUF,red_meat,90.17008417873465
GUF,vegetables,151.91957223405782
GUF,whole_grains,41.46881802902478
GUY,fruits,340.18706090878953
GUY,legumes,23.2662585757631
GUY,nuts_seeds,6.061070293365856
GUY,processed_meat,15.573433320765538
GUY,red_meat,10.064017632577603
GUY,vegetables,498.4313047180509
GUY,whole_grains,3.512075357553777
HND,fruits,67.13984872956127
HND,legumes,35.98291423115232
HND,nuts_seeds,1.3794487894834129
HND,processed_meat,23.540637796481253
HND,red_meat,13.300275744045752
HND,vegetables,64.44907281340718
HND,whole_grains,17.040870978078438
HRV,fruits,132.3624889774634
HRV,legumes,4.45268280241852
HRV,nuts_seeds,11.93694677210749
HRV,processed_meat,60.72565958757723
HRV,red_meat,133.4912668581048
HRV,vegetables,740.6989338666605
HRV,whole_grains,52.77617275055265
HTI,fruits,133.4665764900011
HTI,legumes,23.44021614579273
HTI,nuts_seeds,3.632285985282662
HTI,processed_meat,18.774210774571884
HTI,red_meat,21.717006146885396
HTI,vegetables,52.27022211095569
HTI,whole_grains,26.75688939709961
HUN,fruits,126.1696570576898
HUN,legumes,6.649108011003186
HUN,nuts_seeds,2.393983926420632
HUN,processed_meat,53.73609220909402
HUN,red_meat,95.13186596265075
HUN,vegetables,177.881325417062
HUN,whole_grains,105.28781852828791
IDN,fruits,88.39308516524721
IDN,legumes,5.092159770023809
IDN,nuts_seeds,8.211745224506043
IDN,processed_meat,5.424458831045464
IDN,red_meat,4.473338721464056
IDN,vegetables,75.04873771419678
IDN,whole_grains,32.63569693384106
IND,fruits,88.0949282122337
IND,legumes,36.877190236406506
IND,nuts_seeds,12.22912906341905
IND,processed_meat,2.1263099574197164
IND,red_meat,3.08367884130373
IND,vegetables,157.99708986021844
IND,whole_grains,116.99296053332938
IRL,fruits,107.51066727520028
IRL,legumes,5.724019922770588
IRL,nuts_seeds,7.035941017582695
IRL,processed_meat,59.429049822653894
IRL,red_meat,63.18903820480893
IRL,vegetables,125.69414052650228
IRL,whole_grains,45.88381326654292
IRN,fruits,276.43693279659874
IRN,legumes,12.330147311244462
IRN,nuts_seeds,24.071598989497428
IRN,processed_meat,10.630468302538159
