country,age,lx,ex
CHL,1-4,99447.813,80.8099
CHL,5-9,99359.98,76.8798
CHL,10-14,99302.755,71.9227
CHL,15-19,99231.503,66.9723
CHL,20-24,99041.85,62.0952
CHL,25-29,98769.622,57.2593
CHL,30-34,98448.269,52.4378
CHL,35-39,98070.987,47.6296
CHL,40-44,97585.649,42.8534
CHL,45-49,96887.421,38.1432
CHL,50-54,95852.351,33.5262
CHL,55-59,94217.333,29.0615
CHL,60-64,91769.516,24.766
CHL,65-69,88249.295,20.6486
CHL,70-74,83037.629,16.7764
CHL,75-79,74775.414,13.335
CHL,80-84,63244.266,10.2915
CHL,85-89,48407.155,7.6488
CHL,90-94,30685.473,5.6089
CHL,95+,14803.896,4.0599
CHN,<1,100000.0,78.0171
CHN,1-4,99362.051,77.5171
CHN,5-9,99202.391,73.6391
CHN,10-14,99059.38,68.7416
CHN,15-19,98896.276,63.8509
CHN,20-24,98700.857,58.972
CHN,25-29,98401.632,54.1433
CHN,30-34,98036.032,49.3357
CHN,35-39,97633.126,44.5289
CHN,40-44,97148.988,39.7376
CHN,45-49,96384.613,35.0315
CHN,50-54,95214.857,30.4289
CHN,55-59,93272.483,26.0071
CHN,60-64,90560.13,21.7063
CHN,65-69,85905.928,17.7353
CHN,70-74,79053.06,14.045
CHN,75-79,68829.253,10.7405
CHN,80-84,54707.306,7.835
CHN,85-89,36102.491,5.5479
CHN,90-94,17762.011,3.7769
CHN,95+,5118.12,2.5261
CIV,<1,100000.0,62.1102
CIV,1-4,94915.484,64.4266
CIV,5-9,93372.733,61.4659
CIV,10-14,92775.81,56.8469
CIV,15-19,92293.654,52.1303
CIV,20-24,91474.044,47.5729
CIV,25-29,90254.404,43.1806
CIV,30-34,88737.504,38.8746
CIV,35-39,86845.196,34.6651
CIV,40-44,84404.73,30.5922
CIV,45-49,81278.651,26.669
CIV,50-54,77240.376,22.927
CIV,55-59,71976.689,19.4139
CIV,60-64,65339.767,16.1222
CIV,65-69,56741.654,13.1712
CIV,70-74,46293.687,10.568
CIV,75-79,34605.353,8.2833
CIV,80-84,22825.605,6.2806
CIV,85-89,12242.072,4.6041
CIV,90-94,4660.058,3.3779
CIV,95+,1104.949,2.5111
CMR,<1,100000.0,63.9681
CMR,1-4,95388.412,66.0518
CMR,5-9,93421.858,63.4106
CMR,10-14,92727.661,58.8689
CMR,15-19,92225.999,54.1752
CMR,20-24,91469.461,49.6009
CMR,25-29,90402.558,45.1558
CMR,30-34,89155.16,40.7518
CMR,35-39,87665.681,36.4003
CMR,40-44,85793.772,32.1379
CMR,45-49,83409.123,27.9826
CMR,50-54,80327.548,23.9559
CMR,55-59,76188.932,20.1154
CMR,60-64,70750.882,16.4604
CMR,65-69,63281.582,13.0937
CMR,70-74,53122.486,10.0956
CMR,75-79,39760.601,7.6209
CMR,80-84,24946.439,5.6629
CMR,85-89,12020.764,4.1921
CMR,90-94,4014.89,3.1188
CMR,95+,821.267,2.3618
COD,<1,100000.0,62.0741
COD,1-4,95137.55,64.2373
COD,5-9,92764.559,61.8338
COD,10-14,91204.936,57.8536
COD,15-19,90293.276,53.4129
COD,20-24,89068.719,49.1103
COD,25-29,87425.372,44.9855
COD,30-34,85661.673,40.8598
COD,35-39,83772.228,36.7243
COD,40-44,81682.391,32.5983
COD,45-49,79182.42,28.5467
COD,50-54,76260.937,24.5411
COD,55-59,72392.356,20.7133
COD,60-64,67527.51,17.0181
COD,65-69,60765.368,13.618
COD,70-74,51541.932,10.5872
COD,75-79,39592.839,8.0023
COD,80-84,25952.864,5.8825
COD,85-89,13130.774,4.2675
COD,90-94,4540.547,3.0768
COD,95+,904.025,2.2519
COG,<1,100000.0,66.0014
COG,1-4,97201.007,66.8985
COG,5-9,96128.023,63.6282
COG,10-14,95710.759,58.8958
COG,15-19,95365.846,54.0993
COG,20-24,94750.703,49.4327
COG,25-29,93818.055,44.8982
COG,30-34,92624.814,40.4431
COG,35-39,91095.373,36.0784
COG,40-44,89076.355,31.837
COG,45-49,86434.461,27.7306
COG,50-54,82952.684,23.7847
COG,55-59,78316.251,20.0386
COG,60-64,72305.843,16.4876
COG,65-69,64278.244,13.2204
COG,70-74,53770.35,10.2949
COG,75-79,40476.681,7.831
COG,80-84,25865.711,5.8422
COG,85-89,12865.784,4.3254
COG,90-94,4490.872,3.2124
COG,95+,971.155,2.4236
COL,<1,100000.0,77.9134
COL,1-4,99043.882,77.6643
COL,5-9,98832.633,73.8267
COL,10-14,98720.716,68.9078
COL,15-19,98580.457,64.0017
COL,20-24,98126.012,59.2847
COL,25-29,97453.397,54.6767
COL,30-34,96776.834,50.0413
COL,35-39,96072.567,45.3896
COL,40-44,95298.859,40.7375
COL,45-49,94418.788,36.0932
COL,50-54,93266.029,31.5069
COL,55-59,91669.62,27.0096
COL,60-64,89277.562,22.6616
COL,65-69,85583.15,18.5246
COL,70-74,80034.698,14.6246
COL,75-79,71510.189,11.0473
COL,80-84,57897.255,8.0177
COL,85-89,39185.135,5.6082
COL,90-94,19165.217,3.9164
COL,95+,5870.062,2.7472
COM,<1,100000.0,67.0234
COM,1-4,96425.675,68.5023
COM,5-9,95520.756,65.1353
COM,10-14,95095.795,60.4166
COM,15-19,94755.844,55.6238
COM,20-24,94109.971,50.9868
COM,25-29,93269.21,46.4238
COM,30-34,92400.97,41.8362
COM,35-39,91391.402,37.2698
