country,risk_factor,exposure_g_per_day,source_country,source_year
CZE,omega3,0.2769536171,CZE,2020
CZE,processed_meat,17.09379181,CZE,2020
CZE,red_meat,60.20604183,CZE,2020
CZE,vegetables,113.8426292,CZE,2020
CZE,whole_grains,26.17636308,CZE,2020
DEU,fruits,156.0872755,DEU,2020
DEU,legumes,1.614186454,DEU,2020
DEU,nuts_seeds,5.776831691,DEU,2020
DEU,omega3,0.358326735,DEU,2020
DEU,processed_meat,31.51195394,DEU,2020
DEU,red_meat,71.87583369,DEU,2020
DEU,vegetables,135.9912636,DEU,2020
DEU,whole_grains,33.91422562,DEU,2020
DJI,fruits,26.36883655,DJI,2020
DJI,legumes,7.816797212,DJI,2020
DJI,nuts_seeds,1.315755975,DJI,2020
DJI,omega3,0.06959566044,DJI,2020
DJI,processed_meat,3.870501356,DJI,2020
DJI,red_meat,23.58233601,DJI,2020
DJI,vegetables,80.25527303,DJI,2020
DJI,whole_grains,27.63374533,DJI,2020
DNK,fruits,127.4063794,DNK,2020
DNK,legumes,1.610526244,DNK,2020
DNK,nuts_seeds,3.935876505,DNK,2020
DNK,omega3,0.4665394173,DNK,2020
DNK,processed_meat,22.54979132,DNK,2020
DNK,red_meat,54.56906544,DNK,2020
DNK,vegetables,156.6118402,DNK,2020
DNK,whole_grains,34.30892636,DNK,2020
DOM,fruits,432.7056751,DOM,2020
DOM,legumes,6.877816313,DOM,2020
DOM,nuts_seeds,0.4446827628,DOM,2020
DOM,omega3,0.2565754073,DOM,2020
DOM,processed_meat,4.263492436,DOM,2020
DOM,red_meat,25.76967319,DOM,2020
DOM,vegetables,100.1343398,DOM,2020
DOM,whole_grains,10.57467341,DOM,2020
DZA,fruits,214.5259992,DZA,2020
DZA,legumes,9.662971905,DZA,2020
DZA,nuts_seeds,1.913223124,DZA,2020
DZA,omega3,0.1108223988,DZA,2020
DZA,processed_meat,2.462077971,DZA,2020
DZA,red_meat,26.94049106,DZA,2020
DZA,vegetables,199.6257283,DZA,2020
DZA,whole_grains,44.26487426,DZA,2020
ECU,fruits,117.0923097,ECU,2020
ECU,legumes,2.331501901,ECU,2020
ECU,nuts_seeds,1.78913214,ECU,2020
ECU,omega3,0.2128827278,ECU,2020
ECU,processed_meat,6.201335264,ECU,2020
ECU,red_meat,48.15926998,ECU,2020
ECU,vegetables,53.73710367,ECU,2020
ECU,whole_grains,47.24867544,ECU,2020
EGY,fruits,199.1257179,EGY,2020
EGY,legumes,10.49226169,EGY,2020
EGY,nuts_seeds,2.354094573,EGY,2020
EGY,omega3,0.5855946975,EGY,2020
EGY,processed_meat,3.615784797,EGY,2020
EGY,red_meat,26.36435631,EGY,2020
EGY,vegetables,305.8818867,EGY,2020
EGY,whole_grains,81.69232497,EGY,2020
ERI,fruits,59.18520224,ERI,2020
ERI,legumes,8.722597279,ERI,2020
ERI,nuts_seeds,1.913567146,ERI,2020
ERI,omega3,0.1446914488,ERI,2020
ERI,processed_meat,1.626961141,ERI,2020
ERI,red_meat,16.19538593,ERI,2020
ERI,vegetables,33.18640572,ERI,2020
ERI,whole_grains,57.32175786,ERI,2020
ESP,fruits,193.5341628,ESP,2020
ESP,legumes,6.343317547,ESP,2020
ESP,nuts_seeds,5.789074724,ESP,2020
ESP,omega3,0.622122253,ESP,2020
ESP,processed_meat,20.69306076,ESP,2020
ESP,red_meat,77.91294206,ESP,2020
ESP,vegetables,165.7198642,ESP,2020
ESP,whole_grains,18.30479532,ESP,2020
EST,fruits,112.8431606,EST,2020
EST,legumes,2.750517581,EST,2020
EST,nuts_seeds,2.745414729,EST,2020
EST,omega3,0.958374631,EST,2020
EST,processed_meat,54.26693651,EST,2020
EST,red_meat,41.11180654,EST,2020
EST,vegetables,140.0869674,EST,2020
EST,whole_grains,40.74909736,EST,2020
ETH,fruits,13.25193539,ETH,2020
ETH,legumes,15.92955841,ETH,2020
ETH,nuts_seeds,1.5236295,ETH,2020
ETH,omega3,0.02758253166,ETH,2020
ETH,processed_meat,2.261605584,ETH,2020
ETH,red_meat,13.87986294,ETH,2020
ETH,vegetables,27.5476644,ETH,2020
ETH,whole_grains,152.7539184,ETH,2020
FIN,fruits,123.5253136,FIN,2020
FIN,legumes,1.606744024,FIN,2020
FIN,nuts_seeds,2.719881272,FIN,2020
FIN,omega3,1.070672615,FIN,2020
FIN,processed_meat,17.2089324,FIN,2020
FIN,red_meat,74.68652373,FIN,2020
FIN,vegetables,126.8030068,FIN,2020
FIN,whole_grains,36.91815745,FIN,2020
FJI,fruits,56.60227987,FJI,2020
FJI,legumes,6.497270161,FJI,2020
FJI,nuts_seeds,2.723540885,FJI,2020
FJI,omega3,0.5812212795,FJI,2020
FJI,processed_meat,1.67409942,FJI,2020
FJI,red_meat,26.83117951,FJI,2020
FJI,vegetables,77.31587028,FJI,2020
FJI,whole_grains,14.03733397,FJI,2020
FRA,fruits,128.194915,FRA,2020
FRA,legumes,3.951915593,FRA,2020
FRA,nuts_seeds,3.920607908,FRA,2020
FRA,omega3,0.544463035,FRA,2020
FRA,processed_meat,22.69572351,FRA,2020
FRA,red_meat,91.34336304,FRA,2020
FRA,vegetables,119.621798,FRA,2020
FRA,whole_grains,28.469707,FRA,2020
GAB,fruits,190.8849993,GAB,2020
GAB,legumes,6.639812853,GAB,2020
GAB,nuts_seeds,12.5863157,GAB,2020
GAB,omega3,0.7119305896,GAB,2020
GAB,processed_meat,7.69740772,GAB,2020
GAB,red_meat,56.12226914,GAB,2020
GAB,vegetables,38.99796976,GAB,2020
GAB,whole_grains,27.3728925,GAB,2020
GBR,fruits,126.5217226,GBR,2020
GBR,legumes,4.286490617,GBR,2020
GBR,nuts_seeds,2.932012419,GBR,2020
GBR,omega3,0.5403857765,GBR,2020
GBR,processed_meat,30.582484,GBR,2020
GBR,red_meat,60.65809241,GBR,2020
GBR,vegetables,129.297451,GBR,2020
GBR,whole_grains,25.43282197,GBR,2020
GEO,fruits,85.26903716,GEO,2020
GEO,legumes,0.2193435577,GEO,2020
GEO,nuts_seeds,2.550621987,GEO,2020
GEO,omega3,0.2144982504,GEO,2020
GEO,processed_meat,8.230793329,GEO,2020
GEO,red_meat,25.23606157,GEO,2020
GEO,vegetables,111.6760331,GEO,2020
GEO,whole_grains,50.8503106,GEO,2020
GHA,fruits,188.1920822,GHA,2020
GHA,legumes,5.208216563,GHA,2020
GHA,nuts_seeds,7.74156475,GHA,2020
GHA,omega3,0.5403571881,GHA,2020
GHA,processed_meat,5.0027043,GHA,2020
GHA,red_meat,14.58649399,GHA,2020
GHA,vegetables,72.84710762,GHA,2020
GHA,whole_grains,45.73284493,GHA,2020
GIN,fruits,119.4943632,GIN,2020
GIN,legumes,3.254220239,GIN,2020
GIN,nuts_seeds,7.63280513,GIN,2020
GIN,omega3,0.2455098865,GIN,2020
GIN,processed_meat,3.592793503,GIN,2020
GIN,red_meat,21.80637141,GIN,2020
GIN,vegetables,31.22389823,GIN,2020
GIN,whole_grains,26.1396007,GIN,2020
GMB,fruits,7.325284193,GMB,2020
GMB,legumes,0.8727738591,GMB,2020
GMB,nuts_seeds,11.49976859,GMB,2020
GMB,omega3,0.3530449006,GMB,2020
GMB,processed_meat,3.61360425,GMB,2020
GMB,red_meat,8.043382572,GMB,2020
GMB,vegetables,27.7805857,GMB,2020
